,weight,hometown,height,full_name,youth_team,shoots,country,scout_text,ep_id,date_of_birth,position,games_played_17,games_played_18,games_played_19,games_played_20,games_played_21,games_played_22,games_played_23,games_played_24,games_played_25,games_played_26,goals_17,goals_18,goals_19,goals_20,goals_21,goals_22,goals_23,goals_24,goals_25,goals_26,assists_17,assists_18,assists_19,assists_20,assists_21,assists_22,assists_23,assists_24,assists_25,assists_26,penalty_min_17,penalty_min_18,penalty_min_19,penalty_min_20,penalty_min_21,penalty_min_22,penalty_min_23,penalty_min_24,penalty_min_25,penalty_min_26,plus_minus_17,plus_minus_18,plus_minus_19,plus_minus_20,plus_minus_21,plus_minus_22,plus_minus_23,plus_minus_24,plus_minus_25,plus_minus_26,games_played_14,games_played_15,games_played_16,games_played_28,goals_14,goals_15,goals_16,goals_28,assists_14,assists_15,assists_16,assists_28,penalty_min_14,penalty_min_15,penalty_min_16,penalty_min_28,plus_minus_14,plus_minus_15,plus_minus_16,plus_minus_28,games_played_13,goals_13,assists_13,penalty_min_13,plus_minus_13,games_played_27,goals_27,assists_27,penalty_min_27,plus_minus_27,games_played_29,goals_29,assists_29,penalty_min_29,plus_minus_29,games_played_30,games_played_31,games_played_32,goals_30,goals_31,goals_32,assists_30,assists_31,assists_32,penalty_min_30,penalty_min_31,penalty_min_32,plus_minus_30,plus_minus_31,plus_minus_32,games_played_33,games_played_34,goals_33,goals_34,assists_33,assists_34,penalty_min_33,penalty_min_34,plus_minus_33,plus_minus_34,games_played_35,goals_35,assists_35,penalty_min_35,plus_minus_35,games_played_12,goals_12,assists_12,penalty_min_12,plus_minus_12,team_17,team_18,team_19,team_20,team_21,team_22,team_23,team_24,team_25,team_26,league_17,league_18,league_19,league_20,league_21,league_22,league_23,league_24,league_25,league_26,team_14,team_15,team_16,team_28,league_14,league_15,league_16,league_28,team_13,league_13,team_27,league_27,team_29,league_29,team_30,team_31,team_32,league_30,league_31,league_32,team_33,team_34,league_33,league_34,team_35,league_35,team_12,league_12
1810,88,Chelyabinsk,185,Nikita Okhotyuk,HSh S. Makarova Chelyabinsk,L,Russia,,398144,"Dec 04, 2000",D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,93,Waterloo,193,Steven Lorentz,-,L,Canada,,204707,"Apr 13, 1996",C/LW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,92,Toronto,185,Rane Carnegie,-,R,Canada,Grandfather: Herb Carnegie,18326,"Jan 02, 1985",RW,61.0,60.0,41.0,68.0,63.0,55.0,66.0,,,,18.0,21.0,12.0,32.0,44.0,13.0,18.0,,,,8.0,25.0,25.0,32.0,52.0,25.0,20.0,,,,26.0,28.0,18.0,52.0,65.0,24.0,52.0,,,,2.0,-9.0,-8.0,28.0,11.0,2.0,-0.0,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belleville Bulls,Belleville Bulls,Belleville Bulls,Halifax Mooseheads,"Halifax Mooseheads 
“C”",Bakersfield Condors,Laredo Bucks,,,,OHL,OHL,OHL,QMJHL,QMJHL,ECHL,CHL,,,,,,Toronto Marlboros Midget AAA,,,,GTHL,,,,Saint-Georges-de-Beauce COOL-FM,LNAH,,,,,,,,,,,,,,,,
1813,02,Fort,188,Ralph Jarratt,-,L,Canada,,161899,"Mar 18, 1998",D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,91,Haddonfield,191,Chase Hatcher,-,R,USA,"Father: Derian Hatcher
Brother: Kelton Hatcher
Uncle: Kevin Hatcher",122695,"Feb 22, 1994",RW,39.0,55.0,57.0,59.0,34.0,,31.0,,12.0,,10.0,7.0,4.0,5.0,7.0,,3.0,,0.0,,12.0,13.0,9.0,10.0,6.0,,7.0,,1.0,,28.0,93.0,41.0,96.0,38.0,,79.0,,25.0,,0.0,-3.0,6.0,-11.0,-2.0,,-2.0,,-9.0,,,,34.0,,,,15.0,,,,15.0,,,,57.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team Comcast 18U,Peterborough Petes,Peterborough Petes,Peterborough Petes,Philadelphia Flyers Elite,,Salve Regina Univ.,,Evansville Thunderbolts,,T1EHL U18,OHL,OHL,OHL,USPHL Premier,,NCAA III,,SPHL,,,,Virtua Hockey 16U,,,,T1EHL U16,,,,,,,,,,,,,,,,,,,,,
1815,88,Lincoln,178,Peyton Hoyt,-,R,Canada,,268195,"Feb 18, 1999",RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,79,Edmonton,174,Charles Wells,-,R,Canada,,37242,"Jan 04, 1991",C,45.0,56.0,70.0,63.0,51.0,,,28.0,31.0,,3.0,5.0,21.0,12.0,9.0,,,13.0,9.0,,4.0,10.0,34.0,24.0,8.0,,,27.0,22.0,,25.0,29.0,23.0,28.0,12.0,,,2.0,14.0,,-4.0,-3.0,-10.0,4.0,-2.0,,,0.0,0.0,,36.0,34.0,36.0,,7.0,29.0,7.0,,16.0,33.0,28.0,,20.0,68.0,62.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seattle Thunderbirds,Seattle Thunderbirds,Seattle Thunderbirds,Seattle Thunderbirds,Portland Winterhawks,,,Northern AB Inst. of Tech.,Northern AB Inst. of Tech.,,WHL,WHL,WHL,WHL,WHL,,,ACAC,ACAC,,SSAC Lions Bantam AAA,SSAC Lions Bantam AAA,SSAC Athletics Midget AAA,,AMBHL,AMBHL,AMHL,,,,,,,,,,,,,,,,,,,,,
1817,81,Minsk,183,Igor Revenko,Yunost Minsk,L,Belarus,,17668,"May 02, 1990",RW,,,61.0,62.0,57.0,,,,,,,,11.0,27.0,23.0,,,,,,,,18.0,28.0,28.0,,,,,,,,30.0,34.0,36.0,,,,,,,,4.0,-4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prince Albert Raiders,Prince Albert Raiders,Prince Albert Raiders,,,,,,,,WHL,WHL,WHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,95,Winnipeg,190,Neal Prokop,-,L,Canada,,19057,"Jan 28, 1990",C,53.0,66.0,59.0,67.0,17.0,2.0,,28.0,24.0,,1.0,13.0,4.0,22.0,4.0,0.0,,6.0,5.0,,3.0,9.0,18.0,23.0,7.0,0.0,,14.0,3.0,,12.0,69.0,41.0,68.0,23.0,0.0,,54.0,16.0,,-9.0,1.0,-6.0,15.0,3.0,0.0,,0.0,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moose Jaw Warriors,Moose Jaw Warriors,Regina Pats,Tri-City Americans,Tri-City Americans,Univ. of Manitoba,,McGill Univ.,McGill Univ.,,WHL,WHL,WHL,WHL,WHL,USports,,USports,USports,,,,Moose Jaw Warriors,,,,WHL,,,,,,,,,,,,,,,,,,,,,
1819,73,Dorchester,177,Steve Reese,-,R,Canada,,33655,"Jan 09, 1989",C,45.0,64.0,68.0,66.0,63.0,28.0,28.0,27.0,27.0,27.0,5.0,5.0,7.0,9.0,18.0,15.0,13.0,8.0,14.0,9.0,6.0,9.0,14.0,23.0,29.0,13.0,18.0,31.0,18.0,23.0,14.0,18.0,43.0,27.0,32.0,8.0,12.0,22.0,8.0,10.0,0.0,1.0,0.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,,,59.0,,,,34.0,,,,39.0,,,,22.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Thomas Stars,Sarnia Sting,Sarnia Sting,Sarnia Sting,Sudbury Wolves,Univ. of Western Ontario,Univ. of Western Ontario,"Univ. of Western Ontario 
“A”","Univ. of Western Ontario 
“A”",Univ. of Western Ontario,WOHL,OHL,OHL,OHL,OHL,USports,USports,USports,USports,USports,,,Elgin Middlesex Chi. Mn Mdgt AAA,,,,AHMMPL,,,,,,,,,,,,,,,,,,,,,
1820,83,Saskatoon,178,Kaden Elder,-,R,Canada,,247880,"Mar 16, 1998",RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,03,Brandon,188,Riley Day,-,R,Canada,,129527,"Oct 08, 1985",D,3.0,70.0,61.0,34.0,61.0,50.0,,,20.0,,0.0,6.0,1.0,3.0,6.0,1.0,,,18.0,,1.0,13.0,3.0,7.0,19.0,4.0,,,32.0,,0.0,134.0,154.0,90.0,191.0,152.0,,,79.0,,1.0,1.0,10.0,5.0,9.0,-4.0,,,0.0,,,,1.0,,,,0.0,,,,0.0,,,,0.0,,,,-2.0,,,,,,,,,,,,,,,,,15.0,,,6.0,,,22.0,,,63.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Medicine Hat Tigers,Medicine Hat Tigers,Medicine Hat Tigers,Medicine Hat Tigers,Brandon Wheat Kings,Fresno Falcons,,,Oak Lake/Brandon Icemen,,WHL,WHL,WHL,WHL,WHL,ECHL,,,NCHL-MB,,,,Medicine Hat Tigers,,,,WHL,,,,,,,,Carberry Plainsmen,,,THHL,,,,,,,,,,
1822,85,Ottawa,180,Curtis Meighan,-,L,Canada,,77963,"Mar 27, 1994",C,55.0,65.0,66.0,68.0,67.0,22.0,25.0,21.0,0.0,,9.0,4.0,5.0,11.0,7.0,1.0,5.0,0.0,0.0,,14.0,6.0,15.0,26.0,21.0,4.0,4.0,6.0,0.0,,16.0,4.0,17.0,16.0,26.0,4.0,6.0,6.0,0.0,,0.0,-1.0,8.0,-3.0,2.0,0.0,0.0,0.0,0.0,,,31.0,7.0,,,19.0,4.0,,,30.0,6.0,,,10.0,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cumberland Grads,Kitchener Rangers,Kitchener Rangers,"Kitchener Rangers 
“A”","Kitchener Rangers 
“A”",Carleton Univ.,Carleton Univ.,Carleton Univ.,Carleton Univ.,,CHL T1,OHL,OHL,OHL,OHL,USports,USports,USports,USports,,,Eastern Ontario Wild Bantam AAA,Eastern Ontario Wild Mn Mdgt AAA,,,OEBHL,OEMMHL,,,,,,,,,,,,,,,,,,,,,
1823,86,Laval,180,Maxime Macenauer,-,L,Canada,"A hard working center, Macenauer is very good defensively. He has solid hockey sense and plays a pretty well-rounded game. Is a fast skater with a good, low center of gravity.- Erik K. Piri, EP",12518,"Jan 04, 1989",C/LW,41.0,14.0,67.0,54.0,45.0,79.0,51.0,68.0,74.0,47.0,8.0,1.0,23.0,22.0,5.0,13.0,5.0,11.0,9.0,6.0,14.0,3.0,37.0,18.0,16.0,19.0,6.0,11.0,15.0,4.0,30.0,10.0,53.0,52.0,49.0,65.0,22.0,57.0,56.0,28.0,-19.0,-2.0,27.0,3.0,-2.0,-11.0,-1.0,-29.0,-8.0,0.0,,,37.0,,,,17.0,,,,22.0,,,,56.0,,,,0.0,,,,,,,,,,,,30.0,12.0,22.0,30.0,2.0,33.0,16.0,,10.0,9.0,,26.0,20.0,,22.0,14.0,,-3.0,10.0,,,,,,,,,,,,,,,,,,,,,,Rimouski Océanic,Rouyn-Noranda Huskies,Rouyn-Noranda Huskies,Rouyn-Noranda Huskies,Bakersfield Condors,Syracuse Crunch,Anaheim Ducks,St. John's IceCaps,Hamilton Bulldogs,Hamilton Bulldogs,QMJHL,QMJHL,QMJHL,QMJHL,ECHL,AHL,NHL,AHL,AHL,AHL,,,École Éd.-Montpetit Prédateurs,,,,QMAAA,,,,,,Thetford Mines Assurancia,LNAH,Thetford Mines Assurancia,Pétroliers du Nord,,LNAH,LNAH,,,,,,,,,
1824,84,Turku,175,Aleksi Anttalainen,Kiekko-67,L,Finland,,285623,"Mar 28, 1999",D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,99,Montr,188,Matthew Pistilli,-,R,Canada,"Pistilli is a big winger with a good shot and offensive vision. Has smooth hands and protects the puck well. Could improve his skating ability, though. Isn't much of a physical presence for a man his size.- Erik K. Piri, EP (2010)",15625,"Oct 17, 1988",RW,66.0,65.0,63.0,63.0,52.0,77.0,73.0,77.0,65.0,68.0,15.0,22.0,37.0,45.0,7.0,23.0,12.0,25.0,22.0,22.0,18.0,29.0,56.0,41.0,5.0,27.0,13.0,49.0,33.0,37.0,36.0,44.0,51.0,37.0,14.0,27.0,24.0,47.0,43.0,28.0,-2.0,5.0,33.0,33.0,2.0,6.0,-12.0,6.0,3.0,-4.0,,4.0,43.0,,,1.0,21.0,,,0.0,29.0,,,2.0,40.0,,,0.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shawinigan Cataractes,Gatineau Olympiques,Gatineau Olympiques,"Shawinigan Cataractes 
“A”",Albany River Rats,Charlotte Checkers,Charlotte Checkers,Florida Everblades,Florida Everblades,Fort Wayne Komets,QMJHL,QMJHL,QMJHL,QMJHL,AHL,AHL,AHL,ECHL,ECHL,ECHL,,Trois-Rivières Estacades,Trois-Rivières Estacades,,,QMAAA,QMAAA,,,,,,,,,,,,,,,,,,,,,
1826,90,Delta,185,Jalen Price,-,L,Canada,,389525,"Feb 15, 2001",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,85,Thetford,188,Olivier Croteau,-,L,Canada,,37577,"Feb 02, 1992",C,52.0,49.0,59.0,63.0,51.0,19.0,29.0,29.0,39.0,24.0,3.0,7.0,17.0,15.0,36.0,7.0,9.0,8.0,12.0,1.0,5.0,10.0,11.0,19.0,31.0,9.0,12.0,4.0,15.0,7.0,22.0,51.0,75.0,115.0,159.0,47.0,96.0,110.0,109.0,70.0,-9.0,-2.0,-3.0,-8.0,20.0,1.0,11.0,6.0,-5.0,-9.0,,,,9.0,,,,3.0,,,,7.0,,,,41.0,,,,-0.0,,,,,,10.0,4.0,6.0,6.0,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gatineau Olympiques,Gatineau Olympiques,Prince Edward Island Rocket,Prince Edward Island Rocket,La Tuque Loups,Louiseville Bellemare,Jonquière Marquis,Jonquière Marquis,Thetford Mines Assurancia,Thetford Mines Assurancia,QMJHL,QMJHL,QMJHL,QMJHL,QJAAAHL,LHSAM,LNAH,LNAH,LNAH,LNAH,,,,Maniwaki Forestiers,,,,LHSAO,,,Maniwaki Forestiers,LHSAO,,,,,,,,,,,,,,,,
1828,82,Ilderton,180,Shane Bulitka,-,L,Canada,,317084,"Jul 09, 1999",LW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,85,Moskva,184,Yegor Arbuzov,Dynamo Moskva,L,Russia,,450908,"Jan 24, 2001",D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,88,Albert,191,Carson Samoridny,-,R,Canada,,101099,"Jun 24, 1994",RW,36.0,48.0,60.0,48.0,11.0,,,,,,22.0,9.0,10.0,18.0,6.0,,,,,,20.0,4.0,10.0,18.0,0.0,,,,,,14.0,23.0,48.0,34.0,16.0,,,,,,0.0,-2.0,3.0,-2.0,0.0,,,,,,,33.0,34.0,,,27.0,35.0,,,18.0,23.0,,,18.0,16.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Albert Raiders Midget AAA,Everett Silvertips,Calgary Hitmen,Spruce Grove Saints,Spruce Grove Saints,,,,,,AMHL,WHL,WHL,AJHL,AJHL,,,,,,,SSAC Lions Bantam AAA,St. Albert Flyers Minor Mdgt AAA,,,AMBHL,AMMHL,,,,,,,,,,,,,,,,,,,,,
1831,03,Massena,190,Zach Bogosian,-,R,USA,Brothers: Aaron Bogosian & Steve Bogosian,14440,"Jul 15, 1990",D,67.0,60.0,52.0,81.0,71.0,65.0,33.0,55.0,62.0,64.0,7.0,11.0,10.0,10.0,5.0,5.0,5.0,3.0,3.0,7.0,26.0,50.0,10.0,13.0,12.0,25.0,9.0,8.0,17.0,17.0,63.0,72.0,47.0,61.0,29.0,71.0,29.0,48.0,78.0,68.0,-6.0,8.0,3.0,-18.0,-27.0,-3.0,-5.0,3.0,-3.0,-11.0,,34.0,36.0,18.0,,0.0,1.0,0.0,,0.0,0.0,1.0,,0.0,0.0,20.0,,0.0,0.0,-9.0,,,,,,56.0,2.0,9.0,46.0,-17.0,65.0,3.0,16.0,52.0,-5.0,10.0,,,0.0,,,3.0,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,Peterborough Petes,Peterborough Petes,Atlanta Thrashers,"Atlanta Thrashers 
“A”",Atlanta Thrashers,Winnipeg Jets,Winnipeg Jets,Winnipeg Jets,Winnipeg Jets,Buffalo Sabres,OHL,OHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,NHL,,Cushing Academy,Cushing Academy,"Buffalo Sabres 
“A”",,USHS-Prep,USHS-Prep,NHL,,,Buffalo Sabres,NHL,Buffalo Sabres,NHL,Buffalo Sabres,,,NHL,,,,,,,,,,
1832,79,Dingolfing,183,Marco Sedlar,EV Landshut,L,Germany,,85177,"Aug 30, 1995",RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,84,Aldergrove,185,Brad Haber,-,L,Canada,,37245,"Apr 05, 1990",D,2.0,47.0,59.0,59.0,51.0,24.0,,,,,0.0,8.0,2.0,3.0,7.0,2.0,,,,,0.0,5.0,10.0,7.0,27.0,13.0,,,,,2.0,50.0,42.0,43.0,15.0,2.0,,,,,0.0,1.0,-1.0,-6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hope Icebreakers,Hope Icebreakers,Seattle Thunderbirds,Red Deer Rebels,Langley Chiefs,Mount Royal Univ.,,,,,PIJHL,PIJHL,WHL,WHL,BCHL,ACAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,89,Stouffville,188,Trevor Carrick,Markham Majors MHA,L,Canada,"Father: John J. Carrick
Brothers: Jake Carrick, Josh Carrick & Sam Carrick
Cousins: Bobby Hughes & Hayley Hughes",69391,"Jul 04, 1994",D,40.0,68.0,56.0,70.0,76.0,72.0,57.0,74.0,72.0,18.0,6.0,6.0,10.0,22.0,7.0,9.0,4.0,11.0,9.0,5.0,13.0,13.0,21.0,29.0,25.0,33.0,12.0,33.0,38.0,0.0,44.0,64.0,56.0,117.0,94.0,51.0,45.0,87.0,91.0,32.0,0.0,-5.0,-1.0,-3.0,-19.0,-11.0,4.0,-0.0,4.0,3.0,,,52.0,,,,6.0,,,,24.0,,,,50.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stouffville Spirit,Mississauga St. Michael's Majors,Mississauga Steelheads,Mississauga Steelheads,Charlotte Checkers,Charlotte Checkers,"Charlotte Checkers 
“A”","Charlotte Checkers 
“A”","Charlotte Checkers 
“A”",San Jose Barracuda,OJHL,OHL,OHL,OHL,AHL,AHL,AHL,AHL,AHL,AHL,,,Markham Majors Minor Midget AAA,,,,GTMMHL,,,,,,,,,,,,,,,,,,,,,
1835,91,Winnipeg,183,Patrick D,-,L,Canada,,89189,"Nov 04, 1994",C,55.0,40.0,62.0,72.0,67.0,38.0,65.0,28.0,1.0,,14.0,1.0,17.0,20.0,15.0,6.0,12.0,7.0,3.0,,20.0,0.0,24.0,30.0,9.0,10.0,24.0,10.0,0.0,,24.0,15.0,50.0,53.0,39.0,20.0,36.0,21.0,0.0,,0.0,-13.0,4.0,19.0,-5.0,-14.0,-9.0,-4.0,0.0,,29.0,38.0,45.0,,11.0,14.0,17.0,,14.0,23.0,26.0,,28.0,24.0,45.0,,0.0,0.0,0.0,,20.0,13.0,21.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winnipeg Saints,Regina Pats,Regina Pats,Regina Pats,Atlanta Gladiators,Indy Fuel,Norfolk Admirals,Norfolk Admirals,Grunthal Red Wings,,MJHL,WHL,WHL,WHL,ECHL,ECHL,ECHL,ECHL,CSHL-Sr.,,Winnipeg Monarchs Bantam AAA,Winnipeg Monarchs City Mdgt,Winnipeg Wild Midget AAA,,WBAAA,WCML,MMHL,,Winnipeg Monarchs Bntm AAA Div 2,WBAAA2,,,,,,,,,,,,,,,,,,
1836,80,Matane,175,Alexandre Joncas,-,R,Canada,,37457,"May 24, 1988",RW,,55.0,63.0,67.0,29.0,28.0,28.0,28.0,9.0,20.0,,7.0,11.0,14.0,3.0,4.0,5.0,12.0,6.0,10.0,,10.0,8.0,19.0,8.0,7.0,11.0,20.0,5.0,21.0,,49.0,67.0,88.0,35.0,38.0,32.0,24.0,20.0,18.0,,-10.0,-18.0,-9.0,-3.0,0.0,0.0,0.0,-2.0,0.0,,,1.0,22.0,,,0.0,18.0,,,0.0,21.0,,,2.0,15.0,,,0.0,0.0,,,,,,20.0,12.0,22.0,23.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rimouski Océanic,Rimouski Océanic,"Rimouski Océanic 
“A”",Rimouski Océanic,Univ. of Québec-Trois-Rivières,Univ. of Québec-Trois-Rivières,Univ. of Québec-Trois-Rivières,Beauceville René Bernard,Saint-Léonard-d'Aston BigFoot,,QMJHL,QMJHL,QMJHL,QMJHL,USports,USports,USports,LHBBF,LHSAM,,,Jonquière Élites,Saint-Léonard-d'Aston BigFoot,,,QMAAA,LHSAM,,,Saint-Léonard-d'Aston BigFoot,LHSAM,,,,,,,,,,,,,,,,
1837,77,Diego,182,Garrett Taylor,-,L,USA,,32792,"May 13, 1991",LW,,45.0,40.0,9.0,,,,,,,,4.0,3.0,0.0,,,,,,,,6.0,5.0,2.0,,,,,,,,36.0,34.0,25.0,,,,,,,,1.0,-2.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lethbridge Hurricanes,Prince Albert Raiders,Des Moines Buccaneers,,,,,,,,WHL,WHL,USHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,92,Ormstown,180,Vincent Watt,-,L,Canada,,187516,"Feb 28, 1996",LW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,84,Elizabeth,180,Dany Roch,-,L,Canada,"Cousins : Joel Roch, David Roch and Gaby Roch",12159,"Jul 20, 1989",D,42.0,46.0,43.0,50.0,51.0,,,19.0,19.0,15.0,3.0,0.0,1.0,20.0,12.0,,,10.0,2.0,3.0,20.0,5.0,13.0,44.0,50.0,,,20.0,21.0,10.0,43.0,24.0,24.0,46.0,42.0,,,37.0,33.0,15.0,0.0,3.0,7.0,12.0,38.0,,,0.0,0.0,0.0,,,41.0,19.0,,,1.0,5.0,,,4.0,13.0,,,39.0,28.0,,,0.0,0.0,,,,,,18.0,5.0,20.0,32.0,0.0,17.0,4.0,9.0,27.0,0.0,18.0,12.0,,5.0,3.0,,12.0,9.0,,28.0,10.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"Crabtree Draveurs 
“A”",Victoriaville Tigres,Victoriaville Tigres,Terrebonne Cobras,Terrebonne Cobras,,,Saint-Gabriel Blizzard,Saint-Gabriel Blizzard,Saint-Gabriel Blizzard,QMAAA,QMJHL,QMJHL,QJAAAHL,QJAAAHL,,,LHSAM,LHSAM,LHSAM,,,Trois-Rivières Estacades,St-Cyrille Condors,,,QMAAA,LHSAM,,,St-Cyrille Condors,LHSAM,St-Cyrille Condors,LHSAAAQ,Joliette Sportifs,Joliette Sportifs,,LHSAAAQ,LHSAAAQ,,,,,,,,,
1840,86,Calgary,185,Tyler Smithies,Beaumont MHA,L,Canada,,281929,"Jul 27, 2000",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
