,ep_id,scout_text,type
1520,274875,"A hard-working center who takes his shifts as they come, and finds a way to make a difference. A slick skater who is able to make creative plays in the neutral zone. Has a quick, proactive stick that is noticeable offensively and defensively. Needs to get stronger and work on making better decisions along the boards. All-in-all, a player who can play in all situations and be relied upon to make a difference. (Curtis Joe, EP 2014)

The Mastercard Memorial Cup hero on May 31st, 2015, Cirelli was a spectacle to behold. He played a pivotal role in the final game, proving that he can make a difference under great pressure to perform. - [EP]",Yes
1528,10439,Cousin: Chase Marchand,No
1531,37138,Brother: Brandon Regier,No
1538,37075,Brother: Danick Malouin,No
1540,26392,Stepfather: Bob Green,No
1542,9220,"Mueller is a speedy winger with good all-around offensive ability. Handles the puck well and has a hard shot. Can play the point on the powerplay.- Erik K. Piri, EP (2010)",Yes
1544,10393,"A skilled two-way forward with good speed, hands and hockey sense. Capable goal-scorer and playmaker. Decent size and good strength, loves to hit, has a good attitude and excellent leadership qualities. Leads by example both on and off the ice. (EP 2009)

Father: Tony Landeskog | Cousin of father: Kent Grufman",Yes
1546,252446,"Uncles: Andrew Cassels & Larry Barron
Cousin: Cole Cassels",No
1547,28927,"An aggressive defenseman that plays a good physical game and has some interesting tools. Handles the puck comfortably, reads the play fairly well and contributes offensively with his passing game and release. Could work some on his positioning and decision making. (EP, 2013)",Yes
1550,97788,"Brothers: Colum McGauley, Ged McGauley & Tyadg McGauley
Sisters: Maeve McGauley, Patricia McGauley & Taera McGauley",No
1552,61020,Nate also spelled/listed Erik Robichaud,No
1553,75471,Twin Brother: Matt Rupert,No
1556,85410,Name listed in 2009/10 SMHL stats as Tanner Lasann,No
1559,149866,"Listed in 2011/12 OJHL stats with Mississauga Chargers, as Aonthony Latina.",No
1560,88710,"A player who bonds quickly with his linemates and can play a number of different roles; is truly adaptive and, due to his willingness and ability to fill any role that he is assigned, very versatile. Versatility is an attribute that is valued heavily in any team's system, and that has lead to his success so far. All-in-all, a shifty forward that can play, and excel, in any role handed to him. (Curtis Joe, EP 2014)",Yes
1561,344066,"Father: Dave Chyzowski
Brother: Nicholas Chyzowski
Uncles: Barry Chyzowski, Ron Chyzowski",No
1562,33572,Brother: David Dziurzynski,No
1569,74167,Team Staff profile of Rudy Sulmonte also available,No
1575,56033,"Not a great skater or defensive player, Frk's game is all about scoring. He has an excellent shot and a nose for the net. Good hands and moves the puck well through traffic. (EP 2012)",Yes
1576,239986,"Brother: Nathan Headrick
Sister: Jana Headrick",No
1577,207349,"McKenzie can be described as a smart defensive forward who skates well and is excellent on the draw. He is not overly physical, but is overall awareness in all 3 zones is coveted. (Tyler Parchem, EP 2015)",Yes
1578,300436,"A smart offensive center who thinks the game at a fast pace and makes very good decisions on a consistent basis. Though he may not be the biggest player on the ice, Suzuki plays a thick, sturdy game and is hard to knock off the puck, especially when he has his feet moving. He's an excellent skater that knows his own game well. Skilled with the puck and has a high level of hockey sense. This blend of talent and work ethic is hard to come by, invaluable in the long run. [EP 2017]

Brother: Ryan Suzuki",Yes
1584,12157,Team Staff profile of Toby Lafrance also available,No
1588,98716,Full name: Matthew Bursey,No
1589,25356,"Harper is one rapid forward with an excellent shot. Performs and operates well on the left-hand side on the power play. Can work on his consistency to maintain a high level throughout a season. Technically gifted. (David Enbom, 2019)",Yes
1592,47019,Brother: Derek Huisman,No
1593,36715,Team Staff profile of Adam Wallace also available,No
1595,20705,Team Staff profile of Luciano Lomanno also available,No
1596,282491,Attended Colorado Avalanche Development Camp 2018,No
1597,11673,Team Staff profile of Ben Wright also available,No
1598,106161,Brother : Isaiah Baptiste,No
1603,283898,Brother: Nicholas Boka,No
1604,11351,Brother: Nick Pisellini,No
1605,94494,brother-in-law: Gianluca Hauser,No
1607,19156,Brother : JÃ©rÃ©mie Blain,No
1609,43708,Brother: John McFarland,No
1610,13499,"McRae is a hard working two-way center. He has good size, but could play a more physical game. Can be used in many situations on the ice.- Erik K. Piri, EP 2013

Father: Basil McRae
Sister: Abbey McRae
Uncle: Chris Mcrae",Yes
1611,24430,Father: Mark MacKay | Brother: Joshua MacKay,No
1612,13669,Brother: Matt Corrente,No
1613,23003,Father: Paul MacDermid,No
1617,3636,"Figren is a winger with solid all-around skills. He stands out with his terrific speed and acceleration. Has good stickhandling ability, but could improve his puck control to limit offensive-zone turnovers. Has a fine shot, but doesn't get it off quite enough. Plays with a lot of grit and guts despite being of modest size.- Erik K. Piri, EP (2014)

Father: Robert Figren",Yes
1618,31083,"Brother: Chandler Stephenson
Uncle: Bob Stephenson
Cousins: Joey Kocur, Logan Stephenson & Shay Stephenson",No
1619,241023,"Father:  Brian Verbeek

Brother:  Ryan Verbeek

Uncles: Pat Verbeek, Gerard Verbeek & Tim Verbeek

Cousin: Kyle Verbeek",No
1622,45607,"An offensively aware centerman that plays a power forward game. Has a very active stick and can create turnovers easily. Possesses an accurate rocket of a shot that he can get off in the blink of an eye. Creates energy through playing a mean, physical game; is a very capable scrapper. All-in-all, Dane Fox is that well-rounded type of player who you can rely on in any given situation to score, throw a big hit, or grind a win out of a low-scoring game. (Curtis Joe, EP 2015)

Brother: Trent Fox
Cousin: Lucas Vanroboys",Yes
1629,96999,Cousins: Samuel Rousseau & FÃ©lix Rousseau,No
1630,229713,"Brother: Daniel Moynihan
Uncle: Ryan Moynihan
Cousins: Chuck Tomes, Scott Tomes",No
1633,17117,Team Staff profile of Garrett Peters also available,No
1635,114802,"Father: Neil Shea
Brother: Patrick Shea",No
1640,151150,"Jeremy Roy is a gifted two-way defenceman that establishes his presence on the ice through playing authoritative hockey, with and without the puck. His absolute and total awareness of other players' positions on the ice is a testament to his incredible knowledge of the game. Roy possesses the intangibles of maturity and character that can't be taught, as well as the individual skill that turns heads every time he is on the ice. All-in-all, a highly intelligent defenceman that plays high-percentage hockey and is a catalyst for positive plays in all three zones. (Curtis Joe, EP 2014)

When talking to scouts about Jeremy Roy, the name Duncan Keith often shows up in the same sentence; the offensive and defensive traits embodied by the Chicago Blackhawks star defenseman seem to be akin to what the young Roy aspires to. - [EP]


Brother: Nicolas Roy",Yes
1641,26388,"Smith is a speedy center with good playmaking ability and decent two-way instincts. Smallish in stature, which can be a problem against large defenders. - Erik K. Piri, EP (2016)",Yes
1645,132434,"Brother: Connor Moynihan
Uncle: Ryan Moynihan
Cousins: Chuck Tomes, Scott Tomes",No
1646,34802,Brother: Jan Senkerik,No
1647,10449,An all-around defenseman with good stickhandling. Reads the game well and has a very good slapshot. Could play more aggressively. (Matias Strozyk),Yes
1651,317885,Father: Brian Hayton,No
1652,67234,Brother: Patrick Hertzberg,No
1653,252492,"Pascal Laberge is a tough and spirited two-way forward with a high level of hockey sense. Hunts for turnovers and causes havoc whenever he is on the ice. Uses his size well to shield the puck, exert physical force, and win board battles. Has a good set of goal-scorer's hands, but tends to use them more to pass than anything. All-in-all, an efficient, yet exciting, two-way forward with potential to develop into a playmaking goal scorer. (Curtis Joe, EP 2014)",Yes
1658,247939,2012-13 team: Arizona Bobcats Bantam,No
1659,11247,"Brother: Nathan Pageau
Cousin: Jean-Gabriel Pageau

Pageau missed most of the  2016/17 season due to an injury.",No
1660,45152,"Brothers: CÃ©drick Henley, David Henley",No
1663,37728,Brother: Brandon MacLean,No
1665,199904,Brother: Declan Hobbs,No
1667,12468,"Romano is a speedy forward with good puck skills and hands. Is smallish, but gritty, and likes to go to the net. Also has good hockey sense and offensive instincts.- Erik K. Piri, EP (2010)",Yes
1668,9471,"Coulombe is a terrific skater with great mobility. He is an offensive-minded defenseman with some holes in his defensive game. He also lacks size, which is a disadvantage in front of the net and along the boards.- Erik K. Piri, EP (2008)",Yes
1672,13837,"Father: Mark Renaud
Uncle: Chris Renaud",No
1673,41672,Has previously been listed as a R handed shot.,No
1676,52418,"Brother: Roberts Bukarts
Father: Ralfs Bukarts",No
1677,32727,"Parlett is a defenseman who plays a fairly well-rounded game. Decent defensively with a good first pass, he also has a fine shot from the point. Enjoys playing a rough game in his own end.- Erik K. Piri, EP (2014)",Yes
1682,424479,Father: Steve Staios,No
1683,37126,"A forward with very good offensive skills. A good passer and finisher. A quick skater who could still develop his movement. (Matias Strozyk)
Father: Rick St. Croix
Brother: Chris St. Croix",Yes
1686,5996,"Mikkel BÃ¸dker is an excellent skater and very shifty. He has good technical skills and very tough to stop when he stickhandles through traffic in high speed. Furthermore, he is a very strong player and has a powerful release. Scores goals and points on regular basis, but could still improve his accuracy. Brother: Mads BÃ¸dker",Yes
1692,11577,Team Staff profile of Christian Gaudet also available,No
1694,10657,Father: Pierre Lacroix,No
1698,31075,Cousin: Kyle Hood,No
1699,11684,Brother: Evan Bloodoff,No
1706,187368,Brother: Christophe Archambault,No
1710,37579,Team Staff profile of Spencer Metcalfe also available,No
1712,94020,Brother: Chris Baltisberger,No
1713,355486,Father: Nikolai Antropov,No
1715,23813,Father: Rob Toffoli,No
1717,14326,"A hard working winger who does his best work in the corners. Goes into high traffic areas without thinking twice. Possesses great leadership qualities and a terrific work ethic.

Father: Dale Hunter
Uncles: Dave Hunter & Mark Hunter
Brother: Tucker Hunter",Yes
1720,5504,"MÃ¶ller is not of large stature, but he plays rather big. Plenty of intensity and grit and if he develops his physical game further, he will be tough opponent to face. Is a speedy skater with great hands and one heck of a shot. MÃ¶ller has some leadership qualities, and admirable work ethic and attitude.- Elite Prospects, 2009Brother: Carl-Johan MÃ¶ller",Yes
1723,11107,"A diminutive center with good qualities on offense. A skilled passer who skates well. Plays an intense and rough style of hockey despite his size. Is defensively responsible and can be used on the penalty kill. - Erik K. Piri, EP (2012)

Cousin: Bryan Young",Yes
1725,11128,Father: Igor Grachyov,No
1727,18243,Brother: Adam Stefishen,No
1734,268417,"A big, skilled winger that plays a complete and consistent game. Battles hard for puck possession and is relentless on both the power play and penalty kill. Plays a hard-nosed game and uses his size to establish his presence around the net. Has good hands, an accurate shot, and zero compromise hockey sense. His skating and overall balance off the rush and in-transition is a work in progress that is continuing to get better by the day. That being said, his vision is excellent and his offensive talent is apparent; he is able to play at a fast pace. Being able to keep up is a big part of that, and, moving forward, he has the potential to develop into a strong two-way winger that is hard to play against and can be relied on in all situations. (Curtis Joe, EP 2016)  

Brothers: Dylan Strome, Ryan Strome",Yes
1735,12428,Team Staff profile of Josh Beaulieu also available,No
1749,254662,"Brothers: JÃ©rÃ©my Lauzon, Ã‰mile Lauzon",No
1752,207313,"Father: SÃ¸ren True
Brother: Oliver True
Cousins: Sebastian Ehlers, Nikolaj Ehlers",No
1753,37148,"Fraser is a big winger who knows how to use his size in physical battles. Is strong along the boards and around the opposing net. Has a hard shot with a quick release. His skating ability could use improvement.- Erik K. Piri, EP (2014)",Yes
1757,149365,Brother: Lucas Stefano,No
1759,33556,Uncle: Dale Saip,No
1763,15744,Brother: Kyle Cumiskey,No
1766,103947,"Nastasiuk is a hard working player. Very capable penalty killer and forechecker. (EP, 2013)Father: Paul Nastasiuk (CFL player)
Brother: Matt Nastasiuk
Sister: Sam Nastasiuk",Yes
1768,45165,"Plays with a Swiss Player-licence and doesn't count against the foreign-contingent in Switzerland.

Father : Serge Poudrier
Brother : Pierre-Maxime Poudrier
Uncle: Daniel Poudrier",Yes
1770,128187,Also listed as a L handed shot.,No
1771,76486,"Brothers: Jamie McGinn, Tye McGinn, Cousin: Erik Bradford

Road assistant captain for the Guelph Storm for 2011/12",No
1772,11637,"Drazenovic is a two-way center with good vision and skating ability. Can be very creative on offense, and play wing if needed.- Erik K. Piri, EP",Yes
1776,32725,"Small player who mixes offensive talent with tenacity. He can score goals and set them up as well as getting under the other teams skin. (Tyler Parchem, EP 2013)",Yes
1784,129044,Brother: Cyril Verrier,No
1786,45485,Father: Kevin Lowe,No
1788,9245,"Gracik is a big winger with a good shot. Plays a gritty game and is strong along the boards and around the net. Is a decent forechecker, but lacks some foot speed.- Ulf Andersson, EP",Yes
1789,76491,"Ezekiel moved from defence to forward this year for Barrie. He wasn't counted on for his points this season, but provided grit and toughness. Although undersized, Ezekiel was known as one of the hardest working and tenacious players in the OHL and thus earned an AHL contract with St. John's for the 2012-2013 season. (Tyler Parchem, 2012)",Yes
1795,192880,Brothers: Collin Siebenaler & Grant Siebenaler,No
1799,9489,"Byers is a big winger who uses his size well. Goes to the net and likes to hit. Is always working and skating hard. Also has decent offensive instincts, and fine leadership qualities.- Erik K. Piri, EP (2012)

Brother: Cole Byers
Cousin: Lyndon Byers",Yes
1801,11108,Team Staff profile of Brett MacLean also available,No
1806,56311,"Brother:Jarrod Mermis

Small and mobile, Mermis possesses puck moving ability and is not afraid to mix it up. (Tyler Parchem, EP, 2013)",No
1810,223199,"Mangiapane has excellent speed and offensive instincts. He is small, but fearless. (Tyler Parchem, EP 2015)",Yes
1815,33553,"Cousins: Chad Dorsett, Dean Dorsett & Derek Dorsett",No
1816,11606,Team Staff profile of Erik Felde also available,No
1819,136414,Brother: Sam Graaskamp,No
1820,12123,"Brouillette is an offensive defenseman with good passing ability. Has a fine shot, too. However, he is lacking in the size department. Is a hard worker, though.- Erik K. Piri, EP (2014)",Yes
1823,284924,"Nicolas Beaudin is a diminutive yet cunning defenceman that is able to use his size to his advantage. His mobility is all but elite at this point; he primarily uses his speed to open up passing and shooting lanes in the offensive zone. With and without the puck he stays composed and in-position, allowing him to analyze situations effortlessly and make those calculated decisions. Defensively, he is assertive and, though he isn't able to impose himself physically, he uses his vision and quickness to take away options and put pressure on the opposition. He plays a structured game offensively, and he does the little things right. His ability to recognize where the puck is, where it is going to be, and why it is going to be there is an indicator of his high-level hockey sense. When you put together skill, speed, and excellent decision-making as well as he does, that translates to on-ice productivity and power-play time. All-in-all, Nicolas Beaudin is an offensive defenceman that understands his own game well and ever seeks to expand upon his strengths. (Curtis Joe, EP 2018)",Yes
1824,157134,"Triplet brothers: Mark Manchurek, Robbie Manchurek",No
1830,69520,Twin brother: Jesse Gimblett,No
1831,35679,Brother : Tommy Bezeau,No
1836,85961,"Brothers: Joonas NÃ¤ttinen & Jussi NÃ¤ttinen

Cousin: Topi NÃ¤ttinen",No
1837,23317,Brother: Matt Hughesman,No
1840,32867,Brother: Mark Yetman,No
1842,298916,Cousin: Aidan Harding,No
1845,56401,Team Staff profile of Jerrid Sauer also available,No
1849,45261,"A creative forward with excellent hands. Offensively fantastic with great scoring and playmaking skills. A hard worker who is very good with the puck but still needs to improve his play without it. (Matias Strozyk, 2012)
Brother: SÃ©bastien Huberdeau",Yes
1852,9318,"Montgomery is an offensive defenseman. He handles the puck nicely and skates very well. Excels on the powerplay.- Erik K. Piri, EP (2012)",Yes
1861,307537,"Brothers: RaphaÃ«l Joly & Michael Joly

Uncle : Yvan Joly",No
1866,194205,Brother: Reilly Pickard,No
1868,32726,Team Staff profile of Steve Lock also available,No
1876,45563,"Lepkowski is a reliable stay-at-home defenseman who uses his size to his advantage. Likes to play a physical game, but doesn't contribute much on offense. (Tyler Parchem, EP 2013)",Yes
1880,17518,"Robak is known as a two-way defenseman with good size and fine hockey smarts. Skates well and has a good first pass. Can also play a physical game.- Erik K. Piri, EP (2017)",Yes
1883,322178,"Krebs is a potent point-producer and offensive catalyst that rises to the occasion whenever he's on the ice. He is a smooth, shifty skater that traverses all three zones with ease and closes the gap on the backcheck quickly. Defensively, his understanding of the game communicates itself through his proactive positioning and an active, lane-disrupting stick. Willing to go to the dirty areas and fight for the puck, but isn't at his best there.
Offensively, below the opposition's blue line, he is an electric, dominant force that showcases excellent decision-making and undeniable puck skills. He's aggressive, but never takes stupid penalties that will put his team in disadvantage state. Krebs' hockey sense is on full display when he's making moves, creating space, and orchestrating opportunities for himself and linemates. All-in-all, Peyton Krebs is an exciting mix of speed, skill, smarts, and hard-nosedness in all three zones. Curtis Joe, EP 2019)

Brother: Dakota Krebs, Dru Krebs",Yes
1884,126397,Twin Brother: Steven Veilleux,No
1889,161112,"Father: Murray Yewchuk, 
Brother: Zak Yewchuk",No
1892,17435,"A hard working player with good attitude and vision. Rakell plays a solid two-way game and is fairly all-round overall. Has some interesting offensive upside and sometimes makes really nice plays while stickhandling through traffic. Capable scorer with a nice release. (EP 2011)
Brother: Robin Rakell
Cousins: Christian Holmblad, Mathias Rakell",Yes
1908,18094,Father: Zdenek OkalUncle: Miroslav Okal,No
1910,30923,"Father: Derrick Smith
Uncles: Keith Primeau, Wayne Primeau
Cousins: Cayden Primeau, Chayse Primeau, Corey Primeau",No
1912,62116,Brother: Jaeger White,No
1914,212726,"A big and strong defenseman. Moverare is a very competitive player capable of logging big minutes and playing a simple and smart game. Has good hockey sense and decent offensive tools, but is more likely to develop into a solid stay-at-home defenseman at the next level. Nice timing in his physical game, fine positioning in most situations and a good character. Skating is okay, although his acceleration could use some improvement. (EP 2016)",Yes
1921,93107,Sister: Nancy Fora (basketball player - external link),No
1924,9344,"A smooth-skating defenseman, Pyett likes to contribute offensively. He is a good passer, but is a bit lacking in the size department. Has been able to improve his defensive play, thanks to his hockey sense and vision.- Erik K. Piri, EP (2013)
Sister: Paige Pyett",Yes
1925,175458,Father: Ken Quinney,No
1927,30743,Team Staff profile of Ryan Hand also available,No
1928,292547,Twin: Kaeden Taphorn,No
1930,37454,Brother : Kevin Asselin,No
1932,37149,Brother: Byron Ismond,No
1935,26411,Brother: Koletrane Wilson,No
1937,359539,"Brothers: Michael Robertson, Jason Robertson",No
1944,271502,Brothers: Matt McLeod & Michael McLeod,No
1945,186697,Team Staff profile of Daniel Waschuk also available,No
1947,38705,"A flashy and offensively very gifted player. Equipped with great hands and puckhandling ability. Like his father, also a gifted shooter and has the tools to put up big numbers. Also a quite agile player with strong skating skills. Can work on his defensive game, and become stronger and more consistent. (EP, 2013)Father: Robert BurakovskyGrandfather: Benny Burakovsky
 Uncle: Mikael Burakovsky",Yes
1952,14371,"O'Reilly is a speedy two-way center who plays a very well-rounded game. Has good hands and some scoring ability, but is also known for his terrific attitude. He works extremely hard and is a great team guy. Excellent defensively.- Erik K. Piri, EP (2013)



Brother: Cal O'Reilly",Yes
1957,127847,Brother : Tristen Elie,No
1960,76895,Also wore #12 for Whitby Dunlops in 2011/12.,No
1961,18880,Team Staff profile of Tyler Shattock also available,No
1964,23449,"Father: Jan Danecek, Sr.

Brother: Lukas Danecek",No
1971,92066,"Brothers: : Brian Elser, , James Elser & Drew Elser",No
1979,157252,Brother: Coda Gordon,No
1980,189422,"Grandfather: Jaroslav Holik
Father: Frantisek Musil
Brother: David Musil
Great Uncle: JiÅ™Ã­ HolÃ­k
Uncle: Bobby Holik",No
1982,279125,"Father: Curtis Leschyshyn
Sister: Anna Leschyshyn",No
1983,14740,A hard-working forward with good speed and faceoff skills. (EP 2008),Yes
1987,17514,"Father: Jean-Francois SauvÃ©
Uncle: Bob SauvÃ©
Cousin: Philippe SauvÃ©",No
2000,33883,Team Staff profile of Brian Birkhoff also available,No
2002,14642,"Kolomatis is a defenseman who plays a well-rounded game. Has good offensive acumen, including a big shot, but is somewhat lacking in size, which limits his effectiveness in physical battles.- Erik K. Piri, EP (2014)

Brother: Dan Kolomatis",Yes
2005,116045,Team Staff profile of BenoÃ®t Massicotte also available,No
2006,33472,"SÃ¶rensen is a capable skater with impressive forechecking abilities. Battles hard for the puck and is tough to place against. Handles the puck fairly well and has a good release. Some interesting offensive qualities, although perhaps more likely to become a role player in the future. (EP, 2012)",Yes
2008,77938,Brother: Andrew Ming,No
2009,213397,"Guillaume Brisebois is a passionate two-way defenseman who takes a very student-like approach to the game. For many players, it takes them a shift or two to ""wake up"" and get the ball rolling. The unique thing about this defenseman is that he's always alert and ready to make a play, right from the get-go. He forces things to happen, and is a catalyst for positive plays at both ends of the ice. Under pressure, he calm and poised, focusing on his own game rather than what is going through other players' minds. He is an excellent skater with a high level of hockey sense, and he realizes his role in all situations. He has great vision and has a deceptively strong shot that he must use more often. All-in-all, an intelligent two-way defenseman that plays with a lot of eagerness and hunger. (Curtis Joe, EP 2015)

Family Relations
Brother: Mathieu Brisebois",Yes
2015,18005,Team Staff profile of Scott Todd also available,No
2016,10294,"Davis is a big winger who skates well. Likes to go the net, but tries to do too much with the puck at times. Could also improve his defensive game and consistency.- Ulf Andersson, EP",Yes
2021,169600,"Brown is a hard nosed defenceman who takes care of his own end first and foremost. He likes to play the body and block shots and is willing to drop the gloves. He isn't known for his offense and has average skating. (Tyler Parchem, EP 2015)",Yes
2027,1296,"A good two-way player. Svensson is a capable skater with good hockey sense. Perhaps not the best goal scorer in the world, but passes the puck well. Technical skills are good, so is attitude and work ethic. 
Father: Gunnar Svensson
Brother: Magnus PÃ¤Ã¤jÃ¤rvi Svensson",Yes
2028,213711,"Brothers: CÃ©drick Henley, Samuel Henley",No
2030,18614,Full name: Patrick Kozyra,No
2033,328556,Brother: Yevgeni Svechnikov,No
2036,43434,"Uncle: Gerd TruntschkaCousins: Bastian KrÃ¤mmer, Lukas KrÃ¤mmer",No
2041,9495,"Tsimikalis was a defensive center and a hard worker with a good attitude. Lacked some foot speed, but had strong leadership qualities.- Ulf Andersson, EP",Yes
2044,46012,Brother: Demetri Sakaris,No
2046,37709,"Brothers : James Neal, Michael Neal",No
2047,12429,Team Staff profile of Ryan McGinnis also available,No
2048,75747,Team Staff profile of Andrew Wilson also available,No
2052,37209,"Blake Scarlett is known as a defenseman with good skating ability. Passes and handles the puck well, and can rush up the ice. Defensively, Scarlett relies on his stick rather than physically outpowering opponents in one-on-one battles.- Erik K. Piri, EP (2014)",Yes
2053,99204,"A superstar in the making since an early age, MacKinnon provides a very complete combination of speed and skill. He is an amazing skater with fantastic puckhandling and hockey sense. MacKinnon has the ability to make quick plays and score flashy goals, but isn't shy about battling for the puck in front of the net either. He is surprisingly physical and owns a great shot to go along with quick hands. (Matias Strozyk, 2012)",Yes
2054,24007,"Brother: Russell Maxwell

Cousin: Brooks Maxwell

Uncle: Bryan Maxwell

â€¢ Missed two seasons of play due to LDS missionary work",No
2057,118659,"Family Relations
Father: Andrew Cassels
Cousin: Travis Barron",No
2063,168707,"Father: Al MacInnis
Brothers: Carson MacInnis & Riley MacInnis
Sister: Lauren MacInnis
Uncle: Rob MacInnis
Cousin: Kendall MacInnis",No
2064,37586,Full name: Michael Farrell,No
2067,37671,"Brother: Jason Shaw
Cousins: Daniel Panetta, Jacob Panetta & Matthew Panetta",No
2068,283907,"Father: Petr KlÃ­ma
Grandfather: Josef KlÃ­ma
Twin brother: Kevin Klima",No
2070,226315,Brother: Timur Rasulov,No
2072,19071,Also listed as Matt Ius,No
2073,33754,"Blacker is a defenseman with terrific skating ability. Offensively, he has a good shot and fine passing skill. Defensively, there is room for improvement.- Elite Prospects (2011)",Yes
2076,160068,"An intelligent, gritty center with a large frame and an excellent work ethic; he plays the game like he has something to prove. Displays good stickhandling ability and individual skills, but also shows the ability to play in all situations. An aspect of his game that jumps out is his speed entering the zone; he is a very good skater who pushes himself to his limits. All-in-all, a good all-around player who thinks the game at a high level and, knowing exactly what he needs to work on, is always improving his game. (Curtis Joe, EP 2014)",Yes
2081,299488,Father: Dean Noel (CFL player),No
2082,151157,Father: Alan Cusson,No
2085,13651,"KundrÃ¡tek is a fairly well-rounded defenseman with good two-way smarts. Has a hard shot and a strong first pass. However, he could stand to play a more physical game, given his size.- Erik K. Piri, EP (2013)",Yes
2087,75036,"One of Barrie's many offensive talents in the 2011-2012 season, Beyers was nearly a point per game player. Beyers uses speed and playmaking skill to set himself ahead of other players. He looks to return for another productive OHL season as one of Barrie's OA's. (Tyler Parchem 2012)",Yes
2088,19428,Gormley is a fast moving defensemen with one good first pass and a splendid shot. Uses his size as an to advantage cover the puck. Can work a bit more on the overall performance and keep better consistency throughout a season. - David Enbom (2019),Yes
2091,225057,"A big-bodied power winger whose net front presence pays dividends at the end of the night. Strong skater, but could work on his acceleration with the puck. Transitions well and, as previously stated, likes to hang around the net and cause havoc. Good shot and, usually, quite accurate. All-in-all, the prototypical power winger that has the skill and determination to make an impact each shift. (Curtis Joe, EP 2014)",Yes
2092,68857,"Doucet is a natural goalscoring winger with an aptitude for penalty shots. Shies away from the physical side of the game as expected from a player of his abilities.
SP",Yes
2100,32724,"Prince is a skilled forward with good vision and offensive instincts. Equally adapt at passing and shooting. Can play both wing and center.- Erik K. Piri, EP (2015)",Yes
2105,11398,"A well-rounded defenseman, Negrin is a smooth skating rearguard. Has a good first pass and hockey sense. Needs to play with more consistency and aggression.- Erik K. Piri, EP (2012)",Yes
2106,11041,"A large center, Jones plays both ways. Has a hard shot and soft hands.Could improve his skating. Doesn't play a physical game for a forward his size.(EP 2010)",Yes
2113,32745,"Brother: Matt Mahalak
Cousins: Alec Mahalak, Nick Mahalak",No
2116,290173,Father: Konstantin Kalmikov,No
2120,4407,"Kempe is very good skater with good acceleration and top speed. He plays with plenty of intensity and his technical skills are of high calibre, making him a flashy player. Pretty aggressive and able to deliver a decent hit once in a while. A good goal scorer, but the same time a very hardworking player who skates hard and gives his best.

Father: Mikael Kempe Brother: Adrian Kempe",Yes
2127,120242,Full name: Timothy Vanstone,No
2128,120632,Brother: Jordan Sandhu,No
2135,95921,"A physically dominant winger with the ability to play in a skill or character role. In the offensive end, Meier is very aware and gets himself into spaces where he can easily make seeing eye passes or snap hard, accurate shots. Can impact the game in a number of different ways, and is very consistent in his efforts. All-in-all, the kind of versatile player who you can put on a skill line, and trust to create dangerous chances, or on a shutdown line, and trust to help stop pucks from going into your net. (Curtis Joe, EP 2014)",Yes
2137,84092,"Brothers: David Quenneville, Peter Quenneville

Second cousin: Joel Quenneville
Uncle (by marriage): Johnny Boychuk",No
2139,15036,"Paul Byron is a two-way forward with excellent speed and quickness. Owns very good puck skills and decent playmaking abilities. Has smallish size, but competes hard for the puck and will use his body, although his lack of size hurts his abilities to win space. A smart penalty killer, Byron excels in his play without the puck and his breakaway speed makes him a dangerous scorer, while shorthanded. (by Rafik Soliman, April 2016)",Yes
2140,39670,Brother: Drew Muench,No
2143,12026,"Keller is a very good skater and needs his speed to make up for his modest size. Has a nice wrist shot and fine vision. Isn't overly effective along the boards. Could improve his play without the puck.- Ulf Andersson, EP (2013)",Yes
2148,326633,Brother: Tyler Robertson,No
2149,76502,One of Barrie's key role players in his first year in the OHL. Will battle for an Overage spot next year.,Yes
2152,37724,Brother: Brennen Dubchak,No
2154,23326,Brother: Ty Mappin,No
2162,8397,"Brothers: Mika Snellman, Ville Snellman",No
2164,15587,Brother: Marc Methot,No
2167,107924,Brother: Zack Rassell,No
2169,12527,Brother: Brennan Sonne,No
2174,204243,"Lindberg improved in great strides this season. He has decent size and likes to pay physical. He is disciplined and plays a consistent smart style of play. He contributes offensively, is good on the draw and is defensively aware. (Tyler Parchem, EP 2015)",Yes
2177,64568,Name listed/spelled Braeden Doucette in 2010/11 AMHL stats,No
2178,2368,"A hard-nosed buzzsaw type winger with excellent mobility and a high-end release on his shot. In all three zones, Hansen is assertive, with and without the puck. Whenever he is on the ice, he is either battling for puck possession or creating a buzz offensively. He is an undeniably good finisher, but could stand to be a bit quicker with his passes. Defensively his two-way game shines as he reads the opposition ahead of the play and positions himself well to get in passing and shooting lanes. He proactively transitions to offence quickly and uses his speed to give himself time and space. Exceptional decision making stands out as a big part of what makes him successful in many roles. Jannik Hansen is a complete and versatile winger that has the proven capacity to be a positive difference-maker in all three zones.[EP]

Father: Bent Hansen",Yes
2180,2613,"An offensively skilled player. Madsen has good speed, hands and technical skills. A quite flashy player with a fine passing ability. Has a good release, but must improve his finishing skills. (EP)",Yes
2182,23154,"A defenseman with excellent skating and speed. Not very large. Smart on the ice. Has a decent shot. Lacks size, strength and physicality. (Matias Strozyk)",Yes
2184,131271,Brother: Matthew Robertson,No
2188,417937,Brother: Fabrice Soucy,No
2189,92062,Brother: Jake Staples,No
2190,15388,"Hishon was a center with natural offensive vision and creativity. Had fine passing ability and a good shot. A speedy skater, but not overly big and could be pushed around at times.- Erik K. Piri, EP",Yes
