,ep_id,scout_text
1673,41672,Has previously been listed as a R handed shot.
1676,52418,"Brother: Roberts Bukarts
Father: Ralfs Bukarts"
1677,32727,"Parlett is a defenseman who plays a fairly well-rounded game. Decent defensively with a good first pass, he also has a fine shot from the point. Enjoys playing a rough game in his own end.- Erik K. Piri, EP (2014)"
1682,424479,Father: Steve Staios
1683,37126,"A forward with very good offensive skills. A good passer and finisher. A quick skater who could still develop his movement. (Matias Strozyk)
Father: Rick St. Croix
Brother: Chris St. Croix"
1686,5996,"Mikkel Bødker is an excellent skater and very shifty. He has good technical skills and very tough to stop when he stickhandles through traffic in high speed. Furthermore, he is a very strong player and has a powerful release. Scores goals and points on regular basis, but could still improve his accuracy. Brother: Mads Bødker"
1692,11577,Team Staff profile of Christian Gaudet also available
1694,10657,Father: Pierre Lacroix
1698,31075,Cousin: Kyle Hood
1699,11684,Brother: Evan Bloodoff
1706,187368,Brother: Christophe Archambault
1710,37579,Team Staff profile of Spencer Metcalfe also available
1712,94020,Brother: Chris Baltisberger
1713,355486,Father: Nikolai Antropov
1715,23813,Father: Rob Toffoli
1717,14326,"A hard working winger who does his best work in the corners. Goes into high traffic areas without thinking twice. Possesses great leadership qualities and a terrific work ethic.

Father: Dale Hunter
Uncles: Dave Hunter & Mark Hunter
Brother: Tucker Hunter"
1720,5504,"Möller is not of large stature, but he plays rather big. Plenty of intensity and grit and if he develops his physical game further, he will be tough opponent to face. Is a speedy skater with great hands and one heck of a shot. Möller has some leadership qualities, and admirable work ethic and attitude.- Elite Prospects, 2009Brother: Carl-Johan Möller"
1723,11107,"A diminutive center with good qualities on offense. A skilled passer who skates well. Plays an intense and rough style of hockey despite his size. Is defensively responsible and can be used on the penalty kill. - Erik K. Piri, EP (2012)

Cousin: Bryan Young"
1725,11128,Father: Igor Grachyov
1727,18243,Brother: Adam Stefishen
1734,268417,"A big, skilled winger that plays a complete and consistent game. Battles hard for puck possession and is relentless on both the power play and penalty kill. Plays a hard-nosed game and uses his size to establish his presence around the net. Has good hands, an accurate shot, and zero compromise hockey sense. His skating and overall balance off the rush and in-transition is a work in progress that is continuing to get better by the day. That being said, his vision is excellent and his offensive talent is apparent; he is able to play at a fast pace. Being able to keep up is a big part of that, and, moving forward, he has the potential to develop into a strong two-way winger that is hard to play against and can be relied on in all situations. (Curtis Joe, EP 2016)  

Brothers: Dylan Strome, Ryan Strome"
1735,12428,Team Staff profile of Josh Beaulieu also available
1749,254662,"Brothers: Jérémy Lauzon, Émile Lauzon"
1752,207313,"Father: Søren True
Brother: Oliver True
Cousins: Sebastian Ehlers, Nikolaj Ehlers"
1753,37148,"Fraser is a big winger who knows how to use his size in physical battles. Is strong along the boards and around the opposing net. Has a hard shot with a quick release. His skating ability could use improvement.- Erik K. Piri, EP (2014)"
1757,149365,Brother: Lucas Stefano
1759,33556,Uncle: Dale Saip
1763,15744,Brother: Kyle Cumiskey
1766,103947,"Nastasiuk is a hard working player. Very capable penalty killer and forechecker. (EP, 2013)Father: Paul Nastasiuk (CFL player)
Brother: Matt Nastasiuk
Sister: Sam Nastasiuk"
1768,45165,"Plays with a Swiss Player-licence and doesn't count against the foreign-contingent in Switzerland.

Father : Serge Poudrier
Brother : Pierre-Maxime Poudrier
Uncle: Daniel Poudrier"
1770,128187,Also listed as a L handed shot.
1771,76486,"Brothers: Jamie McGinn, Tye McGinn, Cousin: Erik Bradford

Road assistant captain for the Guelph Storm for 2011/12"
1772,11637,"Drazenovic is a two-way center with good vision and skating ability. Can be very creative on offense, and play wing if needed.- Erik K. Piri, EP"
1776,32725,"Small player who mixes offensive talent with tenacity. He can score goals and set them up as well as getting under the other teams skin. (Tyler Parchem, EP 2013)"
1784,129044,Brother: Cyril Verrier
1786,45485,Father: Kevin Lowe
1788,9245,"Gracik is a big winger with a good shot. Plays a gritty game and is strong along the boards and around the net. Is a decent forechecker, but lacks some foot speed.- Ulf Andersson, EP"
1789,76491,"Ezekiel moved from defence to forward this year for Barrie. He wasn't counted on for his points this season, but provided grit and toughness. Although undersized, Ezekiel was known as one of the hardest working and tenacious players in the OHL and thus earned an AHL contract with St. John's for the 2012-2013 season. (Tyler Parchem, 2012)"
1795,192880,Brothers: Collin Siebenaler & Grant Siebenaler
1799,9489,"Byers is a big winger who uses his size well. Goes to the net and likes to hit. Is always working and skating hard. Also has decent offensive instincts, and fine leadership qualities.- Erik K. Piri, EP (2012)

Brother: Cole Byers
Cousin: Lyndon Byers"
1801,11108,Team Staff profile of Brett MacLean also available
1806,56311,"Brother:Jarrod Mermis

Small and mobile, Mermis possesses puck moving ability and is not afraid to mix it up. (Tyler Parchem, EP, 2013)"
1810,223199,"Mangiapane has excellent speed and offensive instincts. He is small, but fearless. (Tyler Parchem, EP 2015)"
1815,33553,"Cousins: Chad Dorsett, Dean Dorsett & Derek Dorsett"
1816,11606,Team Staff profile of Erik Felde also available
1819,136414,Brother: Sam Graaskamp
1820,12123,"Brouillette is an offensive defenseman with good passing ability. Has a fine shot, too. However, he is lacking in the size department. Is a hard worker, though.- Erik K. Piri, EP (2014)"
1823,284924,"Nicolas Beaudin is a diminutive yet cunning defenceman that is able to use his size to his advantage. His mobility is all but elite at this point; he primarily uses his speed to open up passing and shooting lanes in the offensive zone. With and without the puck he stays composed and in-position, allowing him to analyze situations effortlessly and make those calculated decisions. Defensively, he is assertive and, though he isn't able to impose himself physically, he uses his vision and quickness to take away options and put pressure on the opposition. He plays a structured game offensively, and he does the little things right. His ability to recognize where the puck is, where it is going to be, and why it is going to be there is an indicator of his high-level hockey sense. When you put together skill, speed, and excellent decision-making as well as he does, that translates to on-ice productivity and power-play time. All-in-all, Nicolas Beaudin is an offensive defenceman that understands his own game well and ever seeks to expand upon his strengths. (Curtis Joe, EP 2018)"
1824,157134,"Triplet brothers: Mark Manchurek, Robbie Manchurek"
1830,69520,Twin brother: Jesse Gimblett
1831,35679,Brother : Tommy Bezeau
1836,85961,"Brothers: Joonas Nättinen & Jussi Nättinen

Cousin: Topi Nättinen"
1837,23317,Brother: Matt Hughesman
1840,32867,Brother: Mark Yetman
1842,298916,Cousin: Aidan Harding
1845,56401,Team Staff profile of Jerrid Sauer also available
1849,45261,"A creative forward with excellent hands. Offensively fantastic with great scoring and playmaking skills. A hard worker who is very good with the puck but still needs to improve his play without it. (Matias Strozyk, 2012)
Brother: Sébastien Huberdeau"
1852,9318,"Montgomery is an offensive defenseman. He handles the puck nicely and skates very well. Excels on the powerplay.- Erik K. Piri, EP (2012)"
1861,307537,"Brothers: Raphaël Joly & Michael Joly

Uncle : Yvan Joly"
1866,194205,Brother: Reilly Pickard
1868,32726,Team Staff profile of Steve Lock also available
1876,45563,"Lepkowski is a reliable stay-at-home defenseman who uses his size to his advantage. Likes to play a physical game, but doesn't contribute much on offense. (Tyler Parchem, EP 2013)"
1880,17518,"Robak is known as a two-way defenseman with good size and fine hockey smarts. Skates well and has a good first pass. Can also play a physical game.- Erik K. Piri, EP (2017)"
1883,322178,"Krebs is a potent point-producer and offensive catalyst that rises to the occasion whenever he's on the ice. He is a smooth, shifty skater that traverses all three zones with ease and closes the gap on the backcheck quickly. Defensively, his understanding of the game communicates itself through his proactive positioning and an active, lane-disrupting stick. Willing to go to the dirty areas and fight for the puck, but isn't at his best there.
Offensively, below the opposition's blue line, he is an electric, dominant force that showcases excellent decision-making and undeniable puck skills. He's aggressive, but never takes stupid penalties that will put his team in disadvantage state. Krebs' hockey sense is on full display when he's making moves, creating space, and orchestrating opportunities for himself and linemates. All-in-all, Peyton Krebs is an exciting mix of speed, skill, smarts, and hard-nosedness in all three zones. Curtis Joe, EP 2019)

Brother: Dakota Krebs, Dru Krebs"
1884,126397,Twin Brother: Steven Veilleux
1889,161112,"Father: Murray Yewchuk, 
Brother: Zak Yewchuk"
1892,17435,"A hard working player with good attitude and vision. Rakell plays a solid two-way game and is fairly all-round overall. Has some interesting offensive upside and sometimes makes really nice plays while stickhandling through traffic. Capable scorer with a nice release. (EP 2011)
Brother: Robin Rakell
Cousins: Christian Holmblad, Mathias Rakell"
1908,18094,Father: Zdenek OkalUncle: Miroslav Okal
1910,30923,"Father: Derrick Smith
Uncles: Keith Primeau, Wayne Primeau
Cousins: Cayden Primeau, Chayse Primeau, Corey Primeau"
1912,62116,Brother: Jaeger White
1914,212726,"A big and strong defenseman. Moverare is a very competitive player capable of logging big minutes and playing a simple and smart game. Has good hockey sense and decent offensive tools, but is more likely to develop into a solid stay-at-home defenseman at the next level. Nice timing in his physical game, fine positioning in most situations and a good character. Skating is okay, although his acceleration could use some improvement. (EP 2016)"
1921,93107,Sister: Nancy Fora (basketball player - external link)
1924,9344,"A smooth-skating defenseman, Pyett likes to contribute offensively. He is a good passer, but is a bit lacking in the size department. Has been able to improve his defensive play, thanks to his hockey sense and vision.- Erik K. Piri, EP (2013)
Sister: Paige Pyett"
1925,175458,Father: Ken Quinney
1927,30743,Team Staff profile of Ryan Hand also available
1928,292547,Twin: Kaeden Taphorn
1930,37454,Brother : Kevin Asselin
1932,37149,Brother: Byron Ismond
1935,26411,Brother: Koletrane Wilson
1937,359539,"Brothers: Michael Robertson, Jason Robertson"
1944,271502,Brothers: Matt McLeod & Michael McLeod
1945,186697,Team Staff profile of Daniel Waschuk also available
1947,38705,"A flashy and offensively very gifted player. Equipped with great hands and puckhandling ability. Like his father, also a gifted shooter and has the tools to put up big numbers. Also a quite agile player with strong skating skills. Can work on his defensive game, and become stronger and more consistent. (EP, 2013)Father: Robert BurakovskyGrandfather: Benny Burakovsky
 Uncle: Mikael Burakovsky"
1952,14371,"O'Reilly is a speedy two-way center who plays a very well-rounded game. Has good hands and some scoring ability, but is also known for his terrific attitude. He works extremely hard and is a great team guy. Excellent defensively.- Erik K. Piri, EP (2013)



Brother: Cal O'Reilly"
1957,127847,Brother : Tristen Elie
1960,76895,Also wore #12 for Whitby Dunlops in 2011/12.
1961,18880,Team Staff profile of Tyler Shattock also available
1964,23449,"Father: Jan Danecek, Sr.

Brother: Lukas Danecek"
1971,92066,"Brothers: : Brian Elser, , James Elser & Drew Elser"
1979,157252,Brother: Coda Gordon
1980,189422,"Grandfather: Jaroslav Holik
Father: Frantisek Musil
Brother: David Musil
Great Uncle: Jiří Holík
Uncle: Bobby Holik"
1982,279125,"Father: Curtis Leschyshyn
Sister: Anna Leschyshyn"
1983,14740,A hard-working forward with good speed and faceoff skills. (EP 2008)
1987,17514,"Father: Jean-Francois Sauvé
Uncle: Bob Sauvé
Cousin: Philippe Sauvé"
2000,33883,Team Staff profile of Brian Birkhoff also available
2002,14642,"Kolomatis is a defenseman who plays a well-rounded game. Has good offensive acumen, including a big shot, but is somewhat lacking in size, which limits his effectiveness in physical battles.- Erik K. Piri, EP (2014)

Brother: Dan Kolomatis"
2005,116045,Team Staff profile of Benoît Massicotte also available
2006,33472,"Sörensen is a capable skater with impressive forechecking abilities. Battles hard for the puck and is tough to place against. Handles the puck fairly well and has a good release. Some interesting offensive qualities, although perhaps more likely to become a role player in the future. (EP, 2012)"
2008,77938,Brother: Andrew Ming
2009,213397,"Guillaume Brisebois is a passionate two-way defenseman who takes a very student-like approach to the game. For many players, it takes them a shift or two to ""wake up"" and get the ball rolling. The unique thing about this defenseman is that he's always alert and ready to make a play, right from the get-go. He forces things to happen, and is a catalyst for positive plays at both ends of the ice. Under pressure, he calm and poised, focusing on his own game rather than what is going through other players' minds. He is an excellent skater with a high level of hockey sense, and he realizes his role in all situations. He has great vision and has a deceptively strong shot that he must use more often. All-in-all, an intelligent two-way defenseman that plays with a lot of eagerness and hunger. (Curtis Joe, EP 2015)

Family Relations
Brother: Mathieu Brisebois"
2015,18005,Team Staff profile of Scott Todd also available
2016,10294,"Davis is a big winger who skates well. Likes to go the net, but tries to do too much with the puck at times. Could also improve his defensive game and consistency.- Ulf Andersson, EP"
2021,169600,"Brown is a hard nosed defenceman who takes care of his own end first and foremost. He likes to play the body and block shots and is willing to drop the gloves. He isn't known for his offense and has average skating. (Tyler Parchem, EP 2015)"
2027,1296,"A good two-way player. Svensson is a capable skater with good hockey sense. Perhaps not the best goal scorer in the world, but passes the puck well. Technical skills are good, so is attitude and work ethic. 
Father: Gunnar Svensson
Brother: Magnus Pääjärvi Svensson"
2028,213711,"Brothers: Cédrick Henley, Samuel Henley"
2030,18614,Full name: Patrick Kozyra
2033,328556,Brother: Yevgeni Svechnikov
2036,43434,"Uncle: Gerd TruntschkaCousins: Bastian Krämmer, Lukas Krämmer"
2041,9495,"Tsimikalis was a defensive center and a hard worker with a good attitude. Lacked some foot speed, but had strong leadership qualities.- Ulf Andersson, EP"
2044,46012,Brother: Demetri Sakaris
2046,37709,"Brothers : James Neal, Michael Neal"
2047,12429,Team Staff profile of Ryan McGinnis also available
2048,75747,Team Staff profile of Andrew Wilson also available
2052,37209,"Blake Scarlett is known as a defenseman with good skating ability. Passes and handles the puck well, and can rush up the ice. Defensively, Scarlett relies on his stick rather than physically outpowering opponents in one-on-one battles.- Erik K. Piri, EP (2014)"
2053,99204,"A superstar in the making since an early age, MacKinnon provides a very complete combination of speed and skill. He is an amazing skater with fantastic puckhandling and hockey sense. MacKinnon has the ability to make quick plays and score flashy goals, but isn't shy about battling for the puck in front of the net either. He is surprisingly physical and owns a great shot to go along with quick hands. (Matias Strozyk, 2012)"
2054,24007,"Brother: Russell Maxwell

Cousin: Brooks Maxwell

Uncle: Bryan Maxwell

• Missed two seasons of play due to LDS missionary work"
2057,118659,"Family Relations
Father: Andrew Cassels
Cousin: Travis Barron"
2063,168707,"Father: Al MacInnis
Brothers: Carson MacInnis & Riley MacInnis
Sister: Lauren MacInnis
Uncle: Rob MacInnis
Cousin: Kendall MacInnis"
2064,37586,Full name: Michael Farrell
2067,37671,"Brother: Jason Shaw
Cousins: Daniel Panetta, Jacob Panetta & Matthew Panetta"
2068,283907,"Father: Petr Klíma
Grandfather: Josef Klíma
Twin brother: Kevin Klima"
2070,226315,Brother: Timur Rasulov
2072,19071,Also listed as Matt Ius
2073,33754,"Blacker is a defenseman with terrific skating ability. Offensively, he has a good shot and fine passing skill. Defensively, there is room for improvement.- Elite Prospects (2011)"
2076,160068,"An intelligent, gritty center with a large frame and an excellent work ethic; he plays the game like he has something to prove. Displays good stickhandling ability and individual skills, but also shows the ability to play in all situations. An aspect of his game that jumps out is his speed entering the zone; he is a very good skater who pushes himself to his limits. All-in-all, a good all-around player who thinks the game at a high level and, knowing exactly what he needs to work on, is always improving his game. (Curtis Joe, EP 2014)"
2081,299488,Father: Dean Noel (CFL player)
2082,151157,Father: Alan Cusson
2085,13651,"Kundrátek is a fairly well-rounded defenseman with good two-way smarts. Has a hard shot and a strong first pass. However, he could stand to play a more physical game, given his size.- Erik K. Piri, EP (2013)"
2087,75036,"One of Barrie's many offensive talents in the 2011-2012 season, Beyers was nearly a point per game player. Beyers uses speed and playmaking skill to set himself ahead of other players. He looks to return for another productive OHL season as one of Barrie's OA's. (Tyler Parchem 2012)"
2088,19428,Gormley is a fast moving defensemen with one good first pass and a splendid shot. Uses his size as an to advantage cover the puck. Can work a bit more on the overall performance and keep better consistency throughout a season. - David Enbom (2019)
2091,225057,"A big-bodied power winger whose net front presence pays dividends at the end of the night. Strong skater, but could work on his acceleration with the puck. Transitions well and, as previously stated, likes to hang around the net and cause havoc. Good shot and, usually, quite accurate. All-in-all, the prototypical power winger that has the skill and determination to make an impact each shift. (Curtis Joe, EP 2014)"
2092,68857,"Doucet is a natural goalscoring winger with an aptitude for penalty shots. Shies away from the physical side of the game as expected from a player of his abilities.
SP"
2100,32724,"Prince is a skilled forward with good vision and offensive instincts. Equally adapt at passing and shooting. Can play both wing and center.- Erik K. Piri, EP (2015)"
2105,11398,"A well-rounded defenseman, Negrin is a smooth skating rearguard. Has a good first pass and hockey sense. Needs to play with more consistency and aggression.- Erik K. Piri, EP (2012)"
2106,11041,"A large center, Jones plays both ways. Has a hard shot and soft hands.Could improve his skating. Doesn't play a physical game for a forward his size.(EP 2010)"
2113,32745,"Brother: Matt Mahalak
Cousins: Alec Mahalak, Nick Mahalak"
2116,290173,Father: Konstantin Kalmikov
2120,4407,"Kempe is very good skater with good acceleration and top speed. He plays with plenty of intensity and his technical skills are of high calibre, making him a flashy player. Pretty aggressive and able to deliver a decent hit once in a while. A good goal scorer, but the same time a very hardworking player who skates hard and gives his best.

Father: Mikael Kempe Brother: Adrian Kempe"
2127,120242,Full name: Timothy Vanstone
2128,120632,Brother: Jordan Sandhu
2135,95921,"A physically dominant winger with the ability to play in a skill or character role. In the offensive end, Meier is very aware and gets himself into spaces where he can easily make seeing eye passes or snap hard, accurate shots. Can impact the game in a number of different ways, and is very consistent in his efforts. All-in-all, the kind of versatile player who you can put on a skill line, and trust to create dangerous chances, or on a shutdown line, and trust to help stop pucks from going into your net. (Curtis Joe, EP 2014)"
2137,84092,"Brothers: David Quenneville, Peter Quenneville

Second cousin: Joel Quenneville
Uncle (by marriage): Johnny Boychuk"
2139,15036,"Paul Byron is a two-way forward with excellent speed and quickness. Owns very good puck skills and decent playmaking abilities. Has smallish size, but competes hard for the puck and will use his body, although his lack of size hurts his abilities to win space. A smart penalty killer, Byron excels in his play without the puck and his breakaway speed makes him a dangerous scorer, while shorthanded. (by Rafik Soliman, April 2016)"
2140,39670,Brother: Drew Muench
2143,12026,"Keller is a very good skater and needs his speed to make up for his modest size. Has a nice wrist shot and fine vision. Isn't overly effective along the boards. Could improve his play without the puck.- Ulf Andersson, EP (2013)"
2148,326633,Brother: Tyler Robertson
2149,76502,One of Barrie's key role players in his first year in the OHL. Will battle for an Overage spot next year.
2152,37724,Brother: Brennen Dubchak
2154,23326,Brother: Ty Mappin
2162,8397,"Brothers: Mika Snellman, Ville Snellman"
2164,15587,Brother: Marc Methot
2167,107924,Brother: Zack Rassell
2169,12527,Brother: Brennan Sonne
2174,204243,"Lindberg improved in great strides this season. He has decent size and likes to pay physical. He is disciplined and plays a consistent smart style of play. He contributes offensively, is good on the draw and is defensively aware. (Tyler Parchem, EP 2015)"
2177,64568,Name listed/spelled Braeden Doucette in 2010/11 AMHL stats
2178,2368,"A hard-nosed buzzsaw type winger with excellent mobility and a high-end release on his shot. In all three zones, Hansen is assertive, with and without the puck. Whenever he is on the ice, he is either battling for puck possession or creating a buzz offensively. He is an undeniably good finisher, but could stand to be a bit quicker with his passes. Defensively his two-way game shines as he reads the opposition ahead of the play and positions himself well to get in passing and shooting lanes. He proactively transitions to offence quickly and uses his speed to give himself time and space. Exceptional decision making stands out as a big part of what makes him successful in many roles. Jannik Hansen is a complete and versatile winger that has the proven capacity to be a positive difference-maker in all three zones.[EP]

Father: Bent Hansen"
2180,2613,"An offensively skilled player. Madsen has good speed, hands and technical skills. A quite flashy player with a fine passing ability. Has a good release, but must improve his finishing skills. (EP)"
2182,23154,"A defenseman with excellent skating and speed. Not very large. Smart on the ice. Has a decent shot. Lacks size, strength and physicality. (Matias Strozyk)"
2184,131271,Brother: Matthew Robertson
2188,417937,Brother: Fabrice Soucy
2189,92062,Brother: Jake Staples
2190,15388,"Hishon was a center with natural offensive vision and creativity. Had fine passing ability and a good shot. A speedy skater, but not overly big and could be pushed around at times.- Erik K. Piri, EP"
2191,12439,Team Staff profile of J.P. Szaszkiewicz also available
2198,238487,"Luff has decent size and moves well up and down the wing. He is an offensive minded forward who does not play very physical. As he continues to grow physically, he will produce more as he powers his way to the high scoring areas. Adjusted well coming out of major midget AAA (Tyler Parchem, EP 2015)"
2202,9661,"Otcenas is a center with good hockey sense. Plays with grit and is strong in puck battles. Always a hard worker, he has fine leadership qualities. - Ulf Andersson, EP"
2204,11306,"A big, physical forward who plays a tough game. Blanchard doesn't mind dropping the gloves and is a team guy, but is a bit lacking when it comes to scoring ability and hockey sense.- Erik K. Piri, EP (2012)"
2205,76342,Father: Stéphane Rioux  Uncle: Alain Rioux & Pierre Rioux  Sister : Maëlle Rioux
2208,41495,Team Staff profile of Billy Burke also available
2209,11864,Father: Anatoli Korostin
2210,213452,"Brothers: Dillon Fournier, Stefan Fournier"
2215,16851,Team Staff profile of Derek LeBlanc also available
2217,37629,Brother: Mitch Eden
2220,10461,Nephew: Ryley Lewis
2223,327634,Brother: Gabriel Cyr
2225,83992,"A 2010 2nd round pick of the Sudbury Wolves, like his father, Dennis Silk, in the 1970's."
2228,205289,Brother: Kailer Yamamoto
2230,14082,"Festerling is a stocky hardworking stay-at-home defenseman. He can play a solid, physical defensive game. Valuable on the penalty kill.- Erik K. Piri, EP (2012)

Twin brother: Garrett Festerling
Father: Brian Festerling"
2231,25745,Brother: Jon Kalinski
2236,91265,Brother: Dylan Kosmachuk
2240,47752,Father: Robert Dirk
2241,239032,Grandfather: Bert Templeton
2244,11317,"Second cousins: Dylan Pietrangelo, Frank Pietrangelo & Paige Pietrangelo"
2251,9358,"A hard working center/winger who plays a gritty, tough game. Plays with a lot of energy and likes the rough stuff.
Lacks natural offensive instincts.
(EP 2010)"
2257,433833,"Father: Joel Washkurak
Brother: Kaden Washkurak"
2260,117347,"Buried on Barrie's depth chart again this season. He played mainly for Stratford (GOJHL) in 2012/2013 after finding himself as Barrie's 9th defenceman. 2013/2014 Maaskant has embraced the role as a defenceman and forward who provides grit and size to the Barrie line up. Long shot for an OA position next season, but at 6'4 his size can be used on the for check and for clearing the crease in his own end. Maaskant is also a willing fighter. (Tyler Parchem, EP 2014)"
2261,11098,"A small sniping winger who relies on his smarts and hockey sense to score goals. Always seems to find the open ice around the net, and scores big goals. Isn't the best skater, though, and lacks size. (EP 2009)

Brother: Dustin Eberle
Cousin: Derek Eberle
Distant Cousin: Tanner Eberle"
2262,157251,"Brothers: Austin Fyten, Seth Fyten & Tyler Fyten
Sister: Caitlin Fyten"
2263,101863,Father: Patrik Rimmel
2265,156093,"Father: Tony Fiore, Cousin : Adam Fiore"
2267,199937,Brother: Ryan Johansen
2268,32719,Brother: David Cianfrini
2269,13785,"Adam is a big winger who is very good along the boards. Also uses his size to crash the net and get into scoring positions. Somewhat lacking in speed and aggression.- Erik K. Piri, EP (2014)

Father: Russ Adam"
2274,238521,"Cousin: Johnson Andrews

Davies is a fearless player who loves to play physical and has a decent shot. His skating is not bad, but could be smoother. He has decent size and will improve his offense with more playing time. (Tyler Parchem, EP 2015)"
2280,43593,Father: Kenneth Latta | Uncle: David Latta | Brother: Louis Latta
2283,199124,"Father: Grant Ottenbreit

Attended Colorado Avalanche Development Camp 2018"
2284,9355,"Mikkelsen is a defenseman who plays a smart, well-rounded game. He owns a solid outlet pass, but doesn't excel in one particular area. Also, he is big, yet won't play a physical game.- Erik K. Piri, EP (2010)


Great uncle: Jim McFadden
Father: Bill Mikkelson
Uncle: Glen Mikkelson
Sister : Meaghan Mikkelson
Brother-in-law: Scott Reid"
2287,47991,Brothers: Mike Bubnick and Jimmy Bubnick
2289,17516,"Lagacé is a speedy forward with both finishing and playmaking skills. A hard worker who plays a tenacious, gritty game and goes to the tough areas. Versatile, he is able to play both center and wing. Smallish, which can be a hinderance at times.
- Erik K. Piri, EP (2014)"
2302,213752,"Uncle: Jean-Sébastien Giguère
Cousin: Cameron Lee"
2303,83627,Sister: Erinn Baddock
2304,88064,"Dylan Blujus is a defenseman with a fairly well-rounded game. Has a good reach and is reliable defensively. He also owns decent offensive instincts, and has a fine shot from the point. Could stand to play with more aggression, given his size.- Erik K. Piri, EP (2014)Brother: Austin Blujus"
2305,32744,Brother: Michael Quesnele
2307,56430,Team Staff profile of Jordan Clendenning also available
2308,19353,Brother: Viktor Nestrasil
2310,14563,Twin brother: Tyler Donati
2317,8701,Brother: Martin Frolik
2318,37710,Cousin: Ben Woodley
2319,61881,Brother: Clay Thoring
2320,45243,Brother: Nick Currie
2328,11881,"Paiement is a defenseman with solid all-around ability. Good defensively around his own net, but can also handle the puck nicely. Likes to hit. Lacks some speed, though.- Ulf Andersson, EP"
2331,284917,"Father: François Guay
Brother: Patrick Guay
Sister: Alexie Guay"
2333,101590,Father: Paul Houck
2336,161117,"A strong transitional forward that is consistent in his efforts and always looking for a way to be active in the play. He is a speedy skater whose naturally fluid skating patterns are quite remarkable. Possesses a creative streak, which he can and will use in the offensive end. Timing on shots and passes will need some work, but decision making is very good. All-in-all, a hard-working two-way player who, as he rounds out his offensive game, continues to become a more and more complete player. (Curtis Joe, EP 2015)
Family relations
Brother: Tyler Wagner"
2338,11244,"Although smallish, Cameron is a tough cookie and crashes the net. He also owns good speed and agitating qualities. Plays a pretty well-rounded game."
2342,131328,Cousins: Fernando Pisani & Sandro Pisani
2345,39776,An agitator and a true team player. He is always willing to drop the gloves and to provide a physical presence.
2346,36727,"Father: Daniel Gauthier
Uncle: Sylvain Gauthier"
2353,56268,Father: Jari Ikonen
2355,81618,Nickname: Jake Ringuette
2356,9183,"Brothers: Eric Staal, Jordan Staal, Jared Staal  Cousin: Jeff Heerema"
2358,88069,"Father: Curt Broadhead
Uncle: Joe Dragon
Cousin: James Williams"
2359,151852,Brother: Gabriel Vilardi
2367,10302,"Lashoff is a well-rounded defenseman who can contribute both ways. Likes to play a physical game and has a mean streak. - Erik K. Piri, EP (2011)

Brother: Brian Lashoff"
2368,45578,Brother: Thomas Schemitsch
2369,10440,"McArdle is a character player who plays with lots of grit. He skates and forechecks very well. Provides much energy for his team.- Erik K. Piri, EP (2012)"
2372,127534,Team Staff profile of Pierre Bergeron also available
2379,14436,Cousin: Logan Stanley
2381,11241,"Nigro needs to improve his skating, but plays a solid, well-rounded game. Can play all forward positions."
2383,96220,Brother: Josh Lisoway
2392,57142,Full name: Joshua Derko
2395,12270,Team Staff profile of Ryan Hillier also available
2398,62570,Fraternal twin brother: Keli Grant
2399,12557,"A hard worker, Sceviour is a good two-way player. Has both playmaking and shooting ability. Finishes his checks and can play a physical game.- Erik K. Piri, EP (2013)


Brother: Logan Sceviour
Father: Darin Sceviour"
2400,79339,"Brother: David Mannino
Cousin: Peter Mannino"
2402,62101,Team Staff profile of Francis Grisé-Leclair also available
2403,67490,Team Staff profile of Charlie Pens also available
2406,254072,Brother: Zach Bramwell
2409,9624,"Vojta is a smooth-skating defenseman who doesn't mind joining the attack. Has a good shot and leadership qualities. Could improve his defensive game, and be more physical. Has had some attitude issues.- Ulf Andersson, EP"
2411,4290,"A two-way defenseman with decent mobility. Pretty good size, okay puck control. Eriksson is a good passer,and has also improved his release. An all-round player who has also improved his foot speed.Brother: Ludwig Eriksson"
2413,149889,Father: Vladimirs Golovkovs
2417,82314,Brother: Jakub Zboril
2418,267578,Brother: Chris Langdon
2423,128492,Brother: Hugo Talbot-Tassi
2428,37127,"Wruck is an offensive winger with really quick hands. Handles the puck well, but could improve his skating ability. Plays a gutsy game and goes hard to the net.- Erik K. Piri, EP (2013)"
2431,284907,Brother: Marc-André Noël
2433,32862,Team Staff profile of Alexandre Labonté also available
2435,45244,"Brother: Dominik Oligny
Cousins: Steven Oligny, Jonathan Oligny"
2437,195390,Twin brother: Luke Green
2438,14504,"Long is a speedy center who plays a solid two-way game. Owns solid scoring and passing ability, and is a hard worker. Has battled injury and consistency issues.- Ulf Andersson, EP (2013)"
2439,151141,Brother: Kevin Ratelle
2441,9247,"Lašček is an offensive winger with good hands and puck control. Likes to play in heavy traffic, but doesn't skate that well.- Ulf Andersson, EP"
2442,23808,"Father: Billy Carroll, Brother: Matthew Carroll"
2444,11320,"DiDiomete is a tough winger who plays with lots of grit and energy. Loves to hit and is strong along the boards. Will drop the gloves, but needs to watch himself and not take bad penalties.- Erik K. Piri, EP"
2446,45590,Twin brother: Jacob McDowell
